"Exp","Ngr","DistrVec"
"Study1",2,0.0915959235188279
"Study1",2,0.0773092019101788
"Study1",2,0.104331878195949
"Study1",2,0.0991262390525305
"Study1",2,0.0883948644014973
"Study1",2,0.089480447149152
"Study1",2,0.0912654422727918
"Study1",2,0.0853907155093548
"Study1",2,0.0745004943113545
"Study1",2,0.0866479492193849
"Study1",2,0.0830426018532319
"Study1",2,0.107793739406826
"Study1",2,0.0905864981728561
"Study1",2,0.0825269151401753
"Study1",2,0.10568945545237
"Study1",2,0.107188548246861
"Study1",2,0.0890110072037613
"Study1",2,0.092541409487295
"Study1",2,0.0854687498019568
"Study1",2,0.102286848087252
"Study1",2,0.0909764652873617
"Study1",2,0.0883192186182117
"Study1",2,0.0902844973925986
"Study1",2,0.0959859838097237
"Study1",2,0.0882209500553913
"Study1",2,0.0935322809679344
"Study1",2,0.0933927285578096
"Study1",2,0.0868351003173506
"Study1",2,0.0916248947089119
"Study1",2,0.0953314477980012
"Study1",2,0.08771176580682
"Study1",2,0.103463271380011
"Study1",2,0.0951183843166442
"Study1",2,0.107847441832057
"Study1",2,0.0937373996241437
"Study1",2,0.101525680557977
"Study1",2,0.087638765627949
"Study1",2,0.103408922765735
"Study1",2,0.0985720827758455
"Study1",2,0.0979174036143108
"Study1",2,0.0941543352647204
"Study1",2,0.0952656590871629
"Study1",2,0.093512663593305
"Study1",2,0.0920569257620708
"Study1",2,0.106760566783314
"Study1",2,0.0870977591076838
"Study1",2,0.0911347975591
"Study1",2,0.0886643739636478
"Study1",2,0.0947421924631388
"Study1",2,0.0968169259629521
"Study1",2,0.102665929777509
"Study1",2,0.0965366208328798
"Study1",2,0.0988052556790094
"Study1",2,0.0858284445532069
"Study1",2,0.103313304981439
"Study1",2,0.0876525660571059
"Study1",2,0.0854588459489558
"Study1",2,0.0805614303576525
"Study1",2,0.077328743894644
"Study1",2,0.101416367558335
"Study1",2,0.0782389501518113
"Study1",2,0.111338521219309
"Study1",2,0.097470274258122
"Study1",2,0.101713060310838
"Study1",2,0.0905789060855804
"Study1",2,0.112092373141777
"Study1",2,0.0790360287271235
"Study1",2,0.0857727192264041
"Study1",2,0.118828370028231
"Study1",2,0.0962276651874995
"Study1",2,0.0975757481432786
"Study1",2,0.0986831627439035
"Study1",2,0.101768755149987
"Study1",2,0.104017273265046
"Study1",2,0.0953502363988553
"Study1",2,0.0893185949919928
"Study1",2,0.0825989865597353
"Study1",2,0.116014371502583
"Study1",2,0.0879985422932347
"Study1",2,0.0984548207720678
"Study1",2,0.0924063167483079
"Study1",2,0.0878439152548178
"Study1",2,0.0949042304114483
"Study1",2,0.120600832262249
"Study1",2,0.103178210572377
"Study1",2,0.104935767903948
"Study1",2,0.0840293267778926
"Study1",2,0.0973722416035256
"Study1",2,0.107486230194206
"Study1",2,0.0908919868304561
"Study1",2,0.0866150600990019
"Study1",2,0.108839683727348
"Study1",2,0.0731691447237101
"Study1",2,0.0951248661675964
"Study1",2,0.100706489858008
"Study1",2,0.0904164235519851
"Study1",2,0.0847473030817835
"Study1",2,0.102626660760147
"Study1",2,0.0846069237911574
"Study1",2,0.0968440842160945
"Study1",2,0.0924595487875311
"Study1",2,0.0988210300894472
"Study1",2,0.0883188189750968
"Study1",2,0.0836370185012535
"Study1",2,0.0917009033163899
"Study1",2,0.104483631862647
"Study1",2,0.0990071302396132
"Study1",2,0.106661584838881
"Study1",2,0.0799303779901449
"Study1",2,0.0828822373684642
"Study1",2,0.0853185006731295
"Study1",2,0.113072400238556
"Study1",2,0.100268793979753
"Study1",2,0.0909377752241866
"Study1",2,0.113433368376622
"Study1",2,0.0841671014792551
"Study1",2,0.08560845298567
"Study1",2,0.0841741671527173
"Study1",2,0.0916801406827463
"Study1",2,0.0937902218647544
"Study1",2,0.105841365396203
"Study1",2,0.107810652586476
"Study1",2,0.0912703440540196
"Study1",2,0.09059904830718
"Study1",2,0.114788970692772
"Study1",2,0.0846828289196802
"Study1",2,0.110215502347523
"Study1",2,0.0995342626695832
"Study1",2,0.0945204958542247
"Study1",2,0.0763057870347961
"Study1",2,0.0853694437831997
