"n_gram","freqz.x","probz.x","numerical_format.x","probzSmooth.x","freqz.y","probz.y","numerical_format.y","probzSmooth.y","oddsR","Experiment","Ngrams"
"DB",104,0.0453950240069839,"frequency",0.0447379633574776,67,0.0427295918367347,"probability",0.041871921182266,1.07165346067062,"Study1",2
"DC",20,0.00872981230903536,"frequency",0.00894759267149553,20,0.0127551020408163,"probability",0.0129310344827586,0.689165950128977,"Study1",2
"DE",181,0.07900480139677,"frequency",0.0775458031529612,134,0.0854591836734694,"probability",0.083128078817734,0.927202121289881,"Study1",2
"DF",10,0.00436490615451768,"frequency",0.00468683425649766,5,0.00318877551020408,"probability",0.00369458128078818,1.26983447488584,"Study1",2
"DG",0,0,"frequency",0.000426075841499787,1,0.000637755102040816,"probability",0.00123152709359606,0.345694799658994,"Study1",2
"DH",9,0.00392841553906591,"frequency",0.00426075841499787,12,0.0076530612244898,"probability",0.00800492610837438,0.530265626542905,"Study1",2
"EA",14,0.00611086861632475,"frequency",0.0063911376224968,5,0.00318877551020408,"probability",0.00369458128078818,1.73456260720412,"Study1",2
"EB",43,0.018769096464426,"frequency",0.0187473370259906,12,0.0076530612244898,"probability",0.00800492610837438,2.36761414876916,"Study1",2
"EC",26,0.011348756001746,"frequency",0.0115040477204942,29,0.0184948979591837,"probability",0.0184729064039409,0.618362068965517,"Study1",2
"ED",122,0.0532518550851157,"frequency",0.0524073285044738,85,0.0542091836734694,"probability",0.0529556650246305,0.989072695332106,"Study1",2
"EF",116,0.0506329113924051,"frequency",0.0498508734554751,89,0.0567602040816327,"probability",0.0554187192118227,0.894260089686099,"Study1",2
"EG",6,0.00261894369271061,"frequency",0.00298253089049851,4,0.00255102040816327,"probability",0.00307881773399015,0.968632478632479,"Study1",2
"EH",9,0.00392841553906591,"frequency",0.00426075841499787,8,0.00510204081632653,"probability",0.00554187192118227,0.767841011743451,"Study1",2
"FA",3,0.0013094718463553,"frequency",0.00170430336599915,5,0.00318877551020408,"probability",0.00369458128078818,0.460378432209418,"Study1",2
"FB",17,0.00742034046268005,"frequency",0.00766936514699617,2,0.00127551020408163,"probability",0.00184729064039409,4.17604121940747,"Study1",2
"FC",61,0.0266259275425578,"frequency",0.0264167021729868,24,0.0153061224489796,"probability",0.0153940886699507,1.73545733041576,"Study1",2
"FD",10,0.00436490615451768,"frequency",0.00468683425649766,8,0.00510204081632653,"probability",0.00554187192118227,0.844986681887367,"Study1",2
"FE",76,0.0331732867743343,"frequency",0.0328078397954836,43,0.0274234693877551,"probability",0.0270935960591133,1.21806167400881,"Study1",2
"FG",116,0.0506329113924051,"frequency",0.0498508734554751,91,0.0580357142857143,"probability",0.0566502463054187,0.87367907974264,"Study1",2
"FH",20,0.00872981230903536,"frequency",0.00894759267149553,18,0.0114795918367347,"probability",0.0116995073891626,0.762660089604924,"Study1",2
"GA",7,0.00305543430816237,"frequency",0.0034086067319983,3,0.00191326530612245,"probability",0.00246305418719212,1.3852073535699,"Study1",2
"GB",3,0.0013094718463553,"frequency",0.00170430336599915,3,0.00191326530612245,"probability",0.00246305418719212,0.691421254801536,"Study1",2
"GC",42,0.0183326058489742,"frequency",0.0183212611844908,20,0.0127551020408163,"probability",0.0129310344827586,1.42462384259259,"Study1",2
"GD",3,0.0013094718463553,"frequency",0.00170430336599915,3,0.00191326530612245,"probability",0.00246305418719212,0.691421254801536,"Study1",2
