n_gram,freqz.x,probz.x,correctness.x,probzSmooth.x,freqz.y,probz.y,correctness.y,probzSmooth.y,oddsR,numerical_format,Ngrams,CountFreq,CountProb,CountNGRAMS,SE,OR,Lower,Upper,Sig,Frequency
AE,5,0.001686341,incorrect,0.001986097,0,0,correct,0.002680965,0.740298507,probability,2,2965,317,56,1.081520464,0.740298507,0.088878777,6.166172613,N,5
AF,5,0.001686341,incorrect,0.001986097,0,0,correct,0.002680965,0.740298507,probability,2,2965,317,56,1.081520464,0.740298507,0.088878777,6.166172613,N,5
AG,1,0.000337268,incorrect,0.000662032,1,0.003154574,correct,0.00536193,0.122888374,probability,2,2965,317,56,1.001512183,0.122888374,0.017258634,0.875014354,Y,1
AH,34,0.011467116,incorrect,0.011585568,1,0.003154574,correct,0.00536193,2.174313463,probability,2,2965,317,56,0.72911024,2.174313463,0.520824,9.077229605,N,34
BA,64,0.02158516,incorrect,0.021516054,5,0.015772871,correct,0.016085791,1.345004511,probability,2,2965,317,56,0.430249198,1.345004511,0.578746303,3.125786075,N,64
BC,144,0.04856661,incorrect,0.047997352,19,0.059936909,correct,0.053619303,0.889864395,probability,2,2965,317,56,0.24510634,0.889864395,0.550408461,1.438674544,N,144
BD,202,0.068128162,incorrect,0.067196293,27,0.085173502,correct,0.075067024,0.887597587,probability,2,2965,317,56,0.209508488,0.887597587,0.588679467,1.338299568,N,202
BE,42,0.014165261,incorrect,0.014233697,5,0.015772871,correct,0.016085791,0.883199015,probability,2,2965,317,56,0.439298386,0.883199015,0.373353512,2.089281273,N,42
BF,7,0.002360877,incorrect,0.00264813,0,0,correct,0.002680965,0.987719881,probability,2,2965,317,56,1.062082891,0.987719881,0.123188619,7.919486145,N,7
BG,1,0.000337268,incorrect,0.000662032,0,0,correct,0.002680965,0.246439218,probability,2,2965,317,56,1.22597692,0.246439218,0.022291393,2.724472599,N,1
BH,42,0.014165261,incorrect,0.014233697,5,0.015772871,correct,0.016085791,0.883199015,probability,2,2965,317,56,0.439298386,0.883199015,0.373353512,2.089281273,N,42
CA,31,0.010455312,incorrect,0.010592519,2,0.006309148,correct,0.008042895,1.320397011,probability,2,2965,317,56,0.60631724,1.320397011,0.402343397,4.333234448,N,31
CB,80,0.02698145,incorrect,0.026812314,9,0.028391167,correct,0.026809651,1.000102041,probability,2,2965,317,56,0.33976556,1.000102041,0.513842509,1.946518776,N,80
CD,40,0.013490725,incorrect,0.013571665,6,0.018927445,correct,0.018766756,0.71936721,probability,2,2965,317,56,0.412692619,0.71936721,0.320375715,1.615257206,N,40
CE,37,0.012478921,incorrect,0.012578616,5,0.015772871,correct,0.016085791,0.779193206,probability,2,2965,317,56,0.442766851,0.779193206,0.327155634,1.855820252,N,37
CF,73,0.024620573,incorrect,0.0244952,10,0.031545741,correct,0.029490617,0.826356541,probability,2,2965,317,56,0.327909078,0.826356541,0.434555876,1.571409273,N,73
CG,40,0.013490725,incorrect,0.013571665,3,0.009463722,correct,0.010723861,1.269211409,probability,2,2965,317,56,0.526721788,1.269211409,0.452042565,3.563597163,N,40
CH,84,0.028330523,incorrect,0.028136379,8,0.025236593,correct,0.024128686,1.170905238,probability,2,2965,317,56,0.354913608,1.170905238,0.584000456,2.347633569,N,84
DA,4,0.001349073,incorrect,0.001655081,2,0.006309148,correct,0.008042895,0.204465075,probability,2,2965,317,56,0.732371218,0.204465075,0.048664489,0.859065153,Y,4
DB,112,0.03777403,incorrect,0.037404833,16,0.050473186,correct,0.045576408,0.813738976,probability,2,2965,317,56,0.266131461,0.813738976,0.483002574,1.370947396,N,112
DC,41,0.013827993,incorrect,0.013902681,2,0.006309148,correct,0.008042895,1.738838536,probability,2,2965,317,56,0.600151017,1.738838536,0.536290863,5.637909696,N,41
DE,258,0.087015177,incorrect,0.085733201,22,0.069400631,correct,0.061662198,1.426974782,probability,2,2965,317,56,0.224852094,1.426974782,0.918371361,2.217247962,N,258
DF,6,0.002023609,incorrect,0.002317114,2,0.006309148,correct,0.008042895,0.286441053,probability,2,2965,317,56,0.692260763,0.286441053,0.073751525,1.112498717,N,6
DG,5,0.001686341,incorrect,0.001986097,0,0,correct,0.002680965,0.740298507,probability,2,2965,317,56,1.081520464,0.740298507,0.088878777,6.166172613,N,5
DH,17,0.005733558,incorrect,0.005958292,4,0.012618297,correct,0.013404826,0.441158841,probability,2,2965,317,56,0.508533133,0.441158841,0.162825659,1.195273054,N,17
EA,9,0.003035413,incorrect,0.003310162,2,0.006309148,correct,0.008042895,0.409609211,probability,2,2965,317,56,0.660581677,0.409609211,0.112220252,1.495092934,N,9
EB,27,0.009106239,incorrect,0.009268454,5,0.015772871,correct,0.016085791,0.572224078,probability,2,2965,317,56,0.453254742,0.572224078,0.235368263,1.391183293,N,27
EC,61,0.020573356,incorrect,0.020523006,3,0.009463722,correct,0.010723861,1.932916526,probability,2,2965,317,56,0.518822717,1.932916526,0.699169198,5.343722675,N,61
ED,169,0.056998314,incorrect,0.056272757,9,0.028391167,correct,0.026809651,2.164503683,probability,2,2965,317,56,0.330133197,2.164503683,1.133295798,4.134027677,Y,169
EF,165,0.055649241,incorrect,0.054948692,15,0.047318612,correct,0.042895442,1.297329247,probability,2,2965,317,56,0.267722766,1.297329247,0.76764423,2.192504171,N,165
EG,4,0.001349073,incorrect,0.001655081,3,0.009463722,correct,0.010723861,0.15293435,probability,2,2965,317,56,0.673083644,0.15293435,0.040885064,0.572065038,Y,4
EH,17,0.005733558,incorrect,0.005958292,1,0.003154574,correct,0.00536193,1.111888112,probability,2,2965,317,56,0.747384756,1.111888112,0.256965216,4.811138228,N,17
FA,7,0.002360877,incorrect,0.00264813,2,0.006309148,correct,0.008042895,0.327469853,probability,2,2965,317,56,0.679240702,0.327469853,0.086494794,1.239802999,N,7
