"Exp","Ngr","DistrVec"
"frequency",2,0.115406528668067
"frequency",2,0.114922209500479
"frequency",2,0.0931588066986351
"frequency",2,0.0839269302266552
"frequency",2,0.107932137770873
"frequency",2,0.113211281817808
"frequency",2,0.109826688610651
"frequency",2,0.119179666644957
"frequency",2,0.103263240355273
"frequency",2,0.102181660882969
"frequency",2,0.0972219717871072
"frequency",2,0.103652248298283
"frequency",2,0.101933436450726
"frequency",2,0.0977039294907972
"frequency",2,0.0989439557072967
"frequency",2,0.0948616612577082
"frequency",2,0.0930412634495006
"frequency",2,0.113374471701561
"frequency",2,0.109290233643742
"frequency",2,0.0931415420520101
"frequency",2,0.112997103688544
"frequency",2,0.10259747514151
"frequency",2,0.12267454803051
"frequency",2,0.114775569211828
"frequency",2,0.100402103218596
"frequency",2,0.107003516216554
"frequency",2,0.0886810829329642
"frequency",2,0.106760837684197
"frequency",2,0.0994318310176184
"frequency",2,0.117551054664066
"frequency",2,0.0977547000092981
"frequency",2,0.109133798719859
"frequency",2,0.0949428764650843
"frequency",2,0.113238738328304
"frequency",2,0.0972511124731094
"frequency",2,0.105140565564404
"frequency",2,0.101711470837769
"frequency",2,0.100240139464604
"frequency",2,0.0945573008627208
"frequency",2,0.0915538546637106
"frequency",2,0.0930831003768366
"frequency",2,0.105987088183515
"frequency",2,0.100547781781374
"frequency",2,0.0916658015423578
"frequency",2,0.10505215117906
"frequency",2,0.0968523280144302
"frequency",2,0.0996494056053883
"frequency",2,0.121147811177306
"frequency",2,0.0768036841588531
"frequency",2,0.100898331832982
"frequency",2,0.100128774282674
"frequency",2,0.111808735615342
"frequency",2,0.115917781317686
"frequency",2,0.0817128226871728
"frequency",2,0.0770380761401151
"frequency",2,0.0873365033585839
"frequency",2,0.106691162788052
"frequency",2,0.0984069207455465
"frequency",2,0.114378992878551
"frequency",2,0.0870189716354042
"frequency",2,0.116000270114475
"frequency",2,0.112724534042912
"frequency",2,0.111838940751247
"frequency",2,0.107088473678208
"frequency",2,0.131193002795033
"frequency",2,0.112942312085396
"frequency",2,0.111160638298555
"frequency",2,0.107515683704766
"frequency",2,0.107120131787304
"frequency",2,0.099424509920697
"frequency",2,0.108964562617485
"frequency",2,0.122259897760202
"frequency",2,0.0867507701769835
"frequency",2,0.102212144797362
"frequency",2,0.105112066377023
"frequency",2,0.116116300342777
"frequency",2,0.123553793081965
"frequency",2,0.108694324055438
"frequency",2,0.111490014215849
"frequency",2,0.0995950805732508
"frequency",2,0.108014947064027
"frequency",2,0.125414545518585
"frequency",2,0.106230624524218
